How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3.8,564,9.2M,"100,000",Free,0,Everyone,Art & Design,"July 11, 2018",2.1,4.1 and up
UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4.7,8145,24M,"500,000",Free,0,Everyone,Art & Design;Creativity,"August 2, 2018",1.0.9,4.4 and up
Floor Plan Creator,ART_AND_DESIGN,4.1,36639,Varies with device,"5,000,000",Free,0,Everyone,Art & Design,"July 14, 2018",Varies with device,2.3.3 and up
PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,158,11M,"10,000",Free,0,Everyone,Art & Design,"November 29, 2017",1.3,4.0.3 and up
How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4,591,9.4M,"500,000",Free,0,Everyone,Art & Design,"March 31, 2018",1,4.0 and up
Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,117,15M,"10,000",Free,0,Everyone,Art & Design,"July 20, 2018",2.0.1,4.0.3 and up
Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,176,10M,"100,000",Free,0,Everyone,Art & Design,"April 2, 2018",1,4.0.3 and up
Textgram - write on photos,ART_AND_DESIGN,4.4,295221,Varies with device,"10,000,000",Free,0,Everyone,Art & Design,"July 30, 2018",Varies with device,Varies with device
Paint Splash!,ART_AND_DESIGN,3.8,2206,1.2M,"100,000",Free,0,Everyone,Art & Design;Creativity,"April 15, 2018",1.46,4.1 and up
Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,26,12M,"10,000",Free,0,Everyone,Art & Design,"January 3, 2018",1.0.0,4.1 and up
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24M,"10,000,000",Free,0,Everyone,Art & Design,"July 31, 2018",1.6.1,4.1 and up
Install images with music to make video without Net - 2018,ART_AND_DESIGN,4.6,1070,26M,"100,000",Free,0,Everyone,Art & Design,"November 14, 2017",1.6,4.1 and up
Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4.2,85,8.0M,"100,000",Free,0,Everyone,Art & Design,"December 17, 2017",2.0.0,4.1 and up
How To Draw Food,ART_AND_DESIGN,4.3,845,7.9M,"100,000",Free,0,Everyone,Art & Design,"May 28, 2018",1,2.3 and up
Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,367,25M,"100,000",Free,0,Everyone,Auto & Vehicles,"May 10, 2018",1,4.0.3 and up
Real Tractor Farming,AUTO_AND_VEHICLES,4,1598,56M,"1,000,000",Free,0,Everyone,Auto & Vehicles,"July 26, 2018",11,4.1 and up
Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,3.8,284,57M,"100,000",Free,0,Everyone,Auto & Vehicles,"July 26, 2018",3,4.1 and up
Used Cars and Trucks for Sale,AUTO_AND_VEHICLES,4.6,17057,Varies with device,"1,000,000",Free,0,Everyone,Auto & Vehicles,"July 30, 2018",Varies with device,Varies with device
American Muscle Car Race,AUTO_AND_VEHICLES,3.9,129,35M,"100,000",Free,0,Everyone,Auto & Vehicles,"July 26, 2018",3,4.1 and up
Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4.3,542,33M,"100,000",Free,0,Everyone,Auto & Vehicles,"July 31, 2018",4,4.1 and up
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,10479,33M,"100,000",Free,0,Everyone,Auto & Vehicles,"July 18, 2018",1.7.1,4.0 and up
Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,805,5.6M,"50,000",Free,0,Everyone,Auto & Vehicles,"July 29, 2018",2.5.1,4.4 and up
Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,129,54M,"100,000",Free,0,Everyone,Auto & Vehicles,"July 26, 2018",3,4.1 and up
Restart Navigator,AUTO_AND_VEHICLES,4,1403,201k,"100,000",Free,0,Everyone,Auto & Vehicles,"August 26, 2014",1.0.1,2.2 and up
"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971,3.6M,"100,000",Free,0,Everyone,Auto & Vehicles,"July 30, 2018",2.493,4.4 and up
CityBus Lviv,AUTO_AND_VEHICLES,4.6,534,5.7M,"10,000",Free,0,Everyone,Auto & Vehicles,"July 8, 2018",1.9.1,4.0.3 and up
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17M,"100,000",Free,0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up
"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,38846,8.6M,"1,000,000",Free,0,Everyone,Auto & Vehicles,"July 28, 2018",2.20 Build 02,4.1 and up
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2.4M,"100,000",Free,0,Everyone,Auto & Vehicles,"June 12, 2018",1.37,4.0 and up
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27M,"100,000",Free,0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up
Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,295,2.7M,"10,000",Free,0,Everyone,Auto & Vehicles,"July 30, 2018",0.2.1,4.4 and up
Used Cars Mexico,AUTO_AND_VEHICLES,4,190,2.5M,"50,000",Free,0,Everyone,Auto & Vehicles,"October 14, 2016",1,2.3 and up
Ulysse Speedometer,AUTO_AND_VEHICLES,4.3,40211,Varies with device,"5,000,000",Free,0,Everyone,Auto & Vehicles,"July 30, 2018",Varies with device,Varies with device
REPUVE,AUTO_AND_VEHICLES,3.9,356,Varies with device,"100,000",Free,0,Everyone,Auto & Vehicles,"May 25, 2018",Varies with device,Varies with device
Used cars for sale - Trovit,AUTO_AND_VEHICLES,4.2,52530,7.0M,"5,000,000",Free,0,Everyone,Auto & Vehicles,"July 16, 2018",4.47.3,4.0.3 and up
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4.8,116986,35M,"5,000,000",Free,0,Everyone,Auto & Vehicles,"August 2, 2018",1.9.7,4.0.3 and up
SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,3.6,1379,16M,"500,000",Free,0,Everyone,Auto & Vehicles,"August 2, 2018",2.2.21,4.2 and up
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16M,"10,000,000",Free,0,Teen,Auto & Vehicles,"July 11, 2018",Varies with device,5.0 and up
PDD-UA,AUTO_AND_VEHICLES,4.8,736,Varies with device,"100,000",Free,0,Everyone,Auto & Vehicles,"July 29, 2018",2.9,2.3.3 and up
Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,7021,17M,"500,000",Free,0,Everyone,Auto & Vehicles,"July 27, 2018",1.79,4.0 and up
Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4.6,197,3.4M,"50,000",Free,0,Everyone,Auto & Vehicles,"June 14, 2018",1.3,4.0 and up
"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4.5,737,8.9M,"100,000",Free,0,Everyone,Auto & Vehicles,"June 8, 2018",2.3.5.1,4.1 and up
Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4.3,3574,3.9M,"1,000,000",Free,0,Everyone 10+,Auto & Vehicles,"July 4, 2018",1.6,4.0 and up
Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2.9M,"100,000",Free,0,Everyone,Auto & Vehicles,"March 27, 2018",1.6,4.1 and up
Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4.9,197136,38M,"1,000,000",Free,0,Everyone,Auto & Vehicles,"July 15, 2018",8.31,4.1 and up
Pick Your Part Garage,AUTO_AND_VEHICLES,3.9,142,32M,"50,000",Free,0,Everyone,Auto & Vehicles,"July 24, 2018",1.1.5.0,6.0 and up
PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,4.4,15168,37M,"1,000,000",Free,0,Everyone,Auto & Vehicles,"July 27, 2018",10.0.2,4.2 and up
Supervision service,AUTO_AND_VEHICLES,4,2155,15M,"500,000",Free,0,Everyone,Auto & Vehicles,"July 30, 2018",1.10.3,5.0 and up
Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,4.3,138,5.4M,"100,000",Free,0,Everyone,Auto & Vehicles,"July 23, 2018",1,4.0.3 and up
Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,3.7,5414,18M,"1,000,000",Free,0,Everyone,Auto & Vehicles,"July 23, 2018",3.20.1,4.4 and up
CarMax – Cars for Sale: Search Used Car Inventory,AUTO_AND_VEHICLES,4.4,21777,Varies with device,"1,000,000",Free,0,Everyone,Auto & Vehicles,"August 4, 2018",Varies with device,Varies with device
BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38M,"100,000",Free,0,Everyone,Auto & Vehicles,"July 29, 2018",1.0.3,2.3 and up
RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3.2,250,1.1M,"100,000",Free,0,Everyone,Auto & Vehicles,"April 27, 2018",1.4,4.0.3 and up
AutoScout24 Switzerland – Find your new car,AUTO_AND_VEHICLES,4.6,13372,Varies with device,"1,000,000",Free,0,Everyone,Auto & Vehicles,"August 3, 2018",Varies with device,Varies with device
Zona Azul Digital Fácil SP CET - OFFICIAL São Paulo,AUTO_AND_VEHICLES,4.6,7880,Varies with device,"100,000",Free,0,Everyone,Auto & Vehicles,"May 10, 2018",4.6.5,Varies with device
SMS Park,AUTO_AND_VEHICLES,4.5,3617,7.9M,"100,000",Free,0,Everyone,Auto & Vehicles,"May 16, 2018",2.8.2,4.1 and up
SKencar,AUTO_AND_VEHICLES,3.7,4806,35M,"1,000,000",Free,0,Everyone,Auto & Vehicles,"July 31, 2018",4.0.3,4.0.3 and up
Fuelio: Gas log & costs,AUTO_AND_VEHICLES,4.6,65786,Varies with device,"1,000,000",Free,0,Everyone,Auto & Vehicles,"August 2, 2018",Varies with device,4.0.3 and up
auto fines,AUTO_AND_VEHICLES,4.6,31433,17M,"1,000,000",Free,0,Everyone,Auto & Vehicles,"August 2, 2018",1.4,4.0.3 and up
"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4.6,5097,19M,"1,000,000",Free,0,Everyone,Auto & Vehicles,"July 23, 2018",1.5.18,4.0.3 and up
All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4,1754,14M,"500,000",Free,0,Everyone,Auto & Vehicles,"June 2, 2018",2.3.4,4.0 and up
Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4.4,2680,2.2M,"500,000",Free,0,Everyone,Auto & Vehicles,"March 20, 2018",1.03,4.0.3 and up
Gas Station,AUTO_AND_VEHICLES,4,1288,4.5M,"100,000",Free,0,Everyone,Auto & Vehicles,"April 21, 2018",2.17,4.0 and up
Hush - Beauty for Everyone,BEAUTY,4.7,18900,17M,"500,000",Free,0,Everyone,Beauty,"August 2, 2018",6.10.1,5.0 and up
"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,49790,14M,"1,000,000",Free,0,Everyone,Beauty,"November 9, 2017",2.3.0,4.1 and up
Natural recipes for your beauty,BEAUTY,4.7,1150,9.8M,"100,000",Free,0,Everyone,Beauty,"May 15, 2018",4,4.1 and up
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21M,"500,000",Free,0,Everyone,Beauty,"July 12, 2018",1.0.6,4.0.3 and up
Mirror - Zoom & Exposure -,BEAUTY,3.9,32090,Varies with device,"1,000,000",Free,0,Everyone,Beauty,"October 24, 2016",Varies with device,Varies with device
Beauty Selfie Camera,BEAUTY,4.2,2225,52M,"500,000",Free,0,Everyone,Beauty,"February 28, 2018",1.6,4.1 and up
Hairstyles step by step,BEAUTY,4.6,4369,14M,"100,000",Free,0,Everyone,Beauty,"July 25, 2018",1.9,4.0.3 and up
Filters for Selfie,BEAUTY,4.3,8572,25M,"1,000,000",Free,0,Everyone,Beauty,"May 10, 2018",1.1.0,4.0 and up
Tie - Always be happy,BEAUTY,4.7,964,9.0M,"50,000",Free,0,Everyone,Beauty,"June 21, 2018",4,4.2 and up
Ulta Beauty,BEAUTY,4.7,42050,Varies with device,"1,000,000",Free,0,Everyone,Beauty,"June 5, 2018",5.4,5.0 and up
Prom MakeUp Tutorial,BEAUTY,4.8,104,12M,"10,000",Free,0,Everyone,Beauty,"June 26, 2018",1.3,4.0.3 and up
Selfie Camera,BEAUTY,4.2,17934,Varies with device,"1,000,000",Free,0,Everyone,Beauty,"September 12, 2017",Varies with device,Varies with device
Sweet Selfie Beauty Camera,BEAUTY,4.3,601,35M,"100,000",Free,0,Everyone,Beauty,"June 2, 2018",2.0.0,4.0 and up
Colors of white in Urdu,BEAUTY,4.5,36,6.7M,"10,000",Free,0,Everyone,Beauty,"July 26, 2018",6,4.0 and up
Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4.1,187,30M,"50,000",Free,0,Teen,Beauty,"July 24, 2018",3.0.1,4.0.3 and up
Wrinkles and rejuvenation,BEAUTY,0,182,5.7M,"100,000",Free,0,Everyone 10+,Beauty,"September 20, 2017",8,3.0 and up
Eyes Makeup Beauty Tips,BEAUTY,4.2,30,2.9M,"10,000",Free,0,Everyone,Beauty,"April 9, 2018",3.3.9,4.0.3 and up
Photo Editor 2018,BEAUTY,4.5,134,17M,"10,000",Free,0,Everyone,Beauty,"March 1, 2018",1.2,4.0.3 and up
Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,74,2.9M,"10,000",Free,0,Everyone,Beauty,"April 5, 2018",2.3.09,4.0.3 and up
Beauty Camera - Selfie Camera,BEAUTY,4,113715,Varies with device,"10,000,000",Free,0,Everyone,Beauty,"August 3, 2017",Varies with device,Varies with device
Girls Hairstyles,BEAUTY,4.1,3595,Varies with device,"500,000",Free,0,Everyone,Beauty,"May 24, 2018",Varies with device,4.0 and up
Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,9315,2.6M,"1,000,000",Free,0,Everyone,Beauty,"November 21, 2017",1.4.2,4.0 and up
Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.4,75,4.2M,"50,000",Free,0,Everyone,Beauty,"October 18, 2017",1.0.0,4.0.3 and up
Haircut Tutorials/Haircut Videos,BEAUTY,4.6,38,7.1M,"10,000",Free,0,Everyone,Beauty,"May 29, 2018",1,4.0 and up
"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,4.5,26834,57M,"1,000,000",Free,0,Everyone,Beauty,"July 24, 2018",18.5,5.0 and up
Manicure - nail design,BEAUTY,0,119,3.7M,"50,000",Free,0,Everyone,Beauty,"July 23, 2018",1.3,4.1 and up
"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3.9,2277,22M,"500,000",Free,0,Everyone,Beauty,"July 12, 2018",1.1.0,4.0.3 and up
Filters for B Live,BEAUTY,4.4,2280,24M,"500,000",Free,0,Everyone,Beauty,"May 14, 2018",1.1.0,4.0 and up
Skin Care and Natural Beauty,BEAUTY,0,654,7.4M,"100,000",Free,0,Teen,Beauty,"July 17, 2018",1.15,4.1 and up
Facial Wrinkle Reduction,BEAUTY,4.6,184,21M,"10,000",Free,0,Everyone,Beauty,"July 2, 2018",1.5,4.1 and up
Makeup Videos,BEAUTY,3.8,9,3.4M,"5,000",Free,0,Everyone,Beauty,"June 7, 2018",1,4.0 and up
"Secrets of beauty, youth and health",BEAUTY,0,77,2.9M,"10,000",Free,0,Mature 17+,Beauty,"August 8, 2017",2,2.3 and up
Recipes and tips for losing weight,BEAUTY,0,35,3.1M,"10,000",Free,0,Everyone 10+,Beauty,"December 11, 2017",2,3.0 and up
Discover Color,BEAUTY,4,364,6.4M,"100,000",Free,0,Everyone,Beauty,"May 24, 2018",1.1,4.0.3 and up
Eyeliner step by step 2018,BEAUTY,4.3,18,3.2M,"5,000",Free,0,Everyone,Beauty,"June 1, 2018",1.2.13,4.0.3 and up
Dresses Ideas & Fashions +3000,BEAUTY,4.5,473,8.2M,"100,000",Free,0,Mature 17+,Beauty,"March 1, 2017",1.0.2.0,1.6 and up
"Lady adviser (beauty, health)",BEAUTY,0,30,9.9M,"10,000",Free,0,Mature 17+,Beauty,"January 24, 2018",3,3.0 and up
Step By Step Hairstyles For Women,BEAUTY,4.1,66,2.9M,"10,000",Free,0,Everyone,Beauty,"April 5, 2018",3.1.89,4.0.3 and up
Rainbow Camera,BEAUTY,3.7,3871,23M,"1,000,000",Free,0,Everyone,Beauty,"July 30, 2018",2.2.0,4.0 and up
Methods of teeth whitening,BEAUTY,4.7,257,4.6M,"50,000",Free,0,Everyone,Beauty,"August 7, 2017",1,4.0.3 and up
Girls hairstyles 2018,BEAUTY,4.2,62,3.1M,"10,000",Free,0,Everyone,Beauty,"May 28, 2018",1.9.2,4.0.3 and up
Wattpad 📖 Free Books,BOOKS_AND_REFERENCE,4.6,2914724,Varies with device,"100,000,000",Free,0,Teen,Books & Reference,"August 1, 2018",Varies with device,Varies with device
E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4.5,1857,4.9M,"50,000",Free,0,Everyone,Books & Reference,"August 3, 2018",1.3.2,4.4 and up
Download free book with green book,BOOKS_AND_REFERENCE,4.6,4478,9.5M,"100,000",Free,0,Everyone 10+,Books & Reference,"July 31, 2017",1.1,4.0 and up
Wikipedia,BOOKS_AND_REFERENCE,4.4,577550,Varies with device,"10,000,000",Free,0,Everyone,Books & Reference,"August 2, 2018",Varies with device,Varies with device
Amazon Kindle,BOOKS_AND_REFERENCE,4.2,814080,Varies with device,"100,000,000",Free,0,Teen,Books & Reference,"July 27, 2018",Varies with device,Varies with device
Cool Reader,BOOKS_AND_REFERENCE,4.5,246315,Varies with device,"10,000,000",Free,0,Everyone,Books & Reference,"July 17, 2015",Varies with device,1.5 and up
Dictionary - Merriam-Webster,BOOKS_AND_REFERENCE,4.5,454060,Varies with device,"10,000,000",Free,0,Everyone,Books & Reference,"May 18, 2018",Varies with device,Varies with device
NOOK: Read eBooks & Magazines,BOOKS_AND_REFERENCE,4.5,155446,Varies with device,"10,000,000",Free,0,Teen,Books & Reference,"April 25, 2018",Varies with device,Varies with device
Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418,4.2M,"100,000",Free,0,Everyone,Books & Reference,"March 27, 2018",2.1,4.1 and up
Book store,BOOKS_AND_REFERENCE,4.4,22486,5.4M,"1,000,000",Free,0,Teen,Books & Reference,"June 6, 2018",3.2.1,4.0 and up
FBReader: Favorite Book Reader,BOOKS_AND_REFERENCE,4.5,203130,Varies with device,"10,000,000",Free,0,Everyone,Books & Reference,"June 28, 2018",Varies with device,Varies with device
English Grammar Complete Handbook,BOOKS_AND_REFERENCE,4.6,1435,2.8M,"500,000",Free,0,Everyone,Books & Reference,"January 21, 2018",1,4.0 and up
Free Books - Spirit Fanfiction and Stories,BOOKS_AND_REFERENCE,4.8,116507,5.0M,"1,000,000",Free,0,Teen,Books & Reference,"August 1, 2018",2.0.075,4.0.3 and up
Google Play Books,BOOKS_AND_REFERENCE,3.9,1433233,Varies with device,"1,000,000,000",Free,0,Teen,Books & Reference,"August 3, 2018",Varies with device,Varies with device
AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468,5.9M,"5,000,000",Free,0,Everyone,Books & Reference,"May 27, 2018",1.91180527,2.3 and up
Offline English Dictionary,BOOKS_AND_REFERENCE,4.2,860,13M,"100,000",Free,0,Everyone,Books & Reference,"July 17, 2018",1,4.0.3 and up
Oxford Dictionary of English : Free,BOOKS_AND_REFERENCE,4.1,363934,7.1M,"10,000,000",Free,0,Everyone,Books & Reference,"July 11, 2018",9.1.363,4.1 and up
Offline: English to Tagalog Dictionary,BOOKS_AND_REFERENCE,4.7,967,6.7M,"500,000",Free,0,Everyone,Books & Reference,"August 4, 2018",1.1.6,4.0.3 and up
Spanish English Translator,BOOKS_AND_REFERENCE,4.2,87873,Varies with device,"10,000,000",Free,0,Teen,Books & Reference,"May 28, 2018",Varies with device,Varies with device
FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506,17M,"1,000,000",Free,0,Everyone,Books & Reference,"July 20, 2018",2.3.18,4.1 and up
Cloud of Books,BOOKS_AND_REFERENCE,3.3,1862,19M,"1,000,000",Free,0,Everyone,Books & Reference,"April 27, 2018",2.2.5,4.1 and up
Recipes of Prophetic Medicine for free,BOOKS_AND_REFERENCE,4.6,2084,6.7M,"500,000",Free,0,Everyone,Books & Reference,"May 17, 2018",15,2.3 and up
ReadEra – free ebook reader,BOOKS_AND_REFERENCE,4.8,47303,21M,"1,000,000",Free,0,Everyone,Books & Reference,"June 2, 2018",18.05.31+530,4.1 and up
NOOK App for NOOK Devices,BOOKS_AND_REFERENCE,4.7,19080,Varies with device,"500,000",Free,0,Everyone,Books & Reference,"April 25, 2018",Varies with device,Varies with device
Anonymous caller detection,BOOKS_AND_REFERENCE,0,161,2.7M,"10,000",Free,0,Everyone,Books & Reference,"July 13, 2018",1,2.3 and up
Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842,37M,"5,000,000",Free,0,Everyone,Books & Reference,"June 25, 2018",5.0.6,4.0 and up
Litnet - E-books,BOOKS_AND_REFERENCE,4.6,7831,15M,"100,000",Free,0,Teen,Books & Reference,"July 4, 2018",1.2.3,4.0 and up
Read books online,BOOKS_AND_REFERENCE,4.1,91615,23M,"5,000,000",Free,0,Mature 17+,Books & Reference,"June 29, 2018",3.12,4.1 and up
English to Urdu Dictionary,BOOKS_AND_REFERENCE,4.6,4620,19M,"500,000",Free,0,Everyone,Books & Reference,"November 23, 2017",2,4.0.3 and up
eBoox: book reader fb2 epub zip,BOOKS_AND_REFERENCE,4.7,21336,23M,"1,000,000",Free,0,Everyone,Books & Reference,"June 20, 2018",1.28,3.0 and up
English Persian Dictionary,BOOKS_AND_REFERENCE,4.5,26875,73M,"500,000",Free,0,Everyone,Books & Reference,"August 1, 2018",6.0.8,4.0.3 and up
Flybook,BOOKS_AND_REFERENCE,3.9,1778,4.9M,"500,000",Free,0,Mature 17+,Books & Reference,"October 16, 2014",1.0.3,2.1 and up
